sample_barcode	sample_class	sample_type	PC1	PC2
TCGA-GI-A2C9-01A	tumor	Primary Tumor	-4.046942789618234	1.2317423585313536
TCGA-GM-A2DF-01A	tumor	Primary Tumor	-1.6155544219021996	-2.3872294447205262
TCGA-GM-A3XL-01A	tumor	Primary Tumor	-1.1119695812988353	1.861065958148289
TCGA-HN-A2NL-01A	tumor	Primary Tumor	-3.372527113650889	3.4237149952357577
TCGA-LL-A5YP-01A	tumor	Primary Tumor	-1.8106878586569817	-0.5687060444074598
TCGA-LL-A6FR-01A	tumor	Primary Tumor	-3.2531214198069476	0.26171719091978385
TCGA-LL-A73Y-01A	tumor	Primary Tumor	-1.1623052304322554	0.15713092076605825
TCGA-LL-A8F5-01A	tumor	Primary Tumor	-2.920565638231906	0.5602819141477584
TCGA-OL-A5D7-01A	tumor	Primary Tumor	-3.1365370221253452	1.3157464827877174
TCGA-OL-A5RW-01A	tumor	Primary Tumor	-2.0772908365271046	3.468299086244925
TCGA-OL-A5S0-01A	tumor	Primary Tumor	-0.969674942763325	0.6902765485240595
TCGA-OL-A66I-01A	tumor	Primary Tumor	-0.3081955984334937	0.0857362527910875
TCGA-OL-A6VO-01A	tumor	Primary Tumor	-3.200577132381001	0.3906360101497431
TCGA-PL-A8LV-01A	tumor	Primary Tumor	-2.18367855483529	-0.8401506548508477
TCGA-PL-A8LZ-01A	tumor	Primary Tumor	0.04404150206329441	-1.5576553207247188
TCGA-S3-AA0Z-01A	tumor	Primary Tumor	-2.3602016414352494	2.9765050470147405
TCGA-S3-AA10-01A	tumor	Primary Tumor	-2.627278961812381	-2.8259374556755454
TCGA-S3-AA15-01A	tumor	Primary Tumor	0.3225578322288394	-4.548842378445874
TCGA-A7-A0CE-11A	normal	Solid Tissue Normal	3.218840120838798	2.0357596012417063
TCGA-A7-A0CH-11A	normal	Solid Tissue Normal	3.2197384424649016	0.23375486141785307
TCGA-A7-A0D9-11A	normal	Solid Tissue Normal	4.573071766632164	-2.810635548724157
TCGA-A7-A0DB-11A	normal	Solid Tissue Normal	4.504047321866584	-2.543703085767327
TCGA-A7-A0DC-11A	normal	Solid Tissue Normal	2.7759295451550474	0.23753394259871133
TCGA-A7-A13E-11A	normal	Solid Tissue Normal	3.9241971875333865	-1.1380591228319679
TCGA-A7-A13F-11A	normal	Solid Tissue Normal	3.578559449619367	0.24888572658551444
TCGA-A7-A13G-11A	normal	Solid Tissue Normal	4.4821813021760875	-2.7493996342710196
TCGA-AC-A23H-11A	normal	Solid Tissue Normal	3.4318241707903296	0.31753153101960646
TCGA-AC-A2FB-11A	normal	Solid Tissue Normal	3.77183815241652	0.4747232073828262
TCGA-AC-A2FF-11A	normal	Solid Tissue Normal	3.14086244096473	0.7727205228462496
TCGA-AC-A2FG-11A	normal	Solid Tissue Normal	2.609147055287349	1.4134984426003416
TCGA-AC-A2FM-11B	normal	Solid Tissue Normal	3.3068314804471948	1.8483717389157654
TCGA-BH-A0AU-11A	normal	Solid Tissue Normal	2.500375900347341	2.2601380110735825
TCGA-BH-A0AY-11A	normal	Solid Tissue Normal	3.8017874335896757	1.0203523218176995
TCGA-BH-A0AZ-11A	normal	Solid Tissue Normal	2.9099477838915595	1.866702217301011
TCGA-BH-A0B3-11B	normal	Solid Tissue Normal	3.202596186665339	1.6758271440859474
TCGA-BH-A0B8-11A	normal	Solid Tissue Normal	4.621992861851541	-1.8547155382311613
TCGA-BH-A0BA-11A	normal	Solid Tissue Normal	3.1469117526179518	1.8523568373668462
TCGA-BH-A0BC-11A	normal	Solid Tissue Normal	3.1259717706748265	2.0281933229446185
TCGA-BH-A0BF-11A	normal	Solid Tissue Normal	3.23078860825808	1.3503992914878442
TCGA-BH-A0BJ-11A	normal	Solid Tissue Normal	3.4014125751635547	2.002997700371468
TCGA-BH-A0BM-11A	normal	Solid Tissue Normal	3.540048854026553	2.3065610941189525
TCGA-BH-A0BS-11A	normal	Solid Tissue Normal	3.1527974772382437	1.4909414763081739
TCGA-BH-A0BT-11A	normal	Solid Tissue Normal	3.241361725525724	2.3413587788914376
TCGA-BH-A0BV-11A	normal	Solid Tissue Normal	3.0954058027437537	2.2203987052601284
TCGA-BH-A0BZ-11A	normal	Solid Tissue Normal	3.4950527654492607	-0.2674490103485111
TCGA-BH-A0C0-11A	normal	Solid Tissue Normal	3.0875138730576364	2.753810409670259
TCGA-BH-A0C3-11A	normal	Solid Tissue Normal	2.824742958252535	2.0041536056881175
TCGA-BH-A0DG-11A	normal	Solid Tissue Normal	3.189626402438064	1.2630557379542595
TCGA-BH-A0DH-11A	normal	Solid Tissue Normal	3.3481873643743305	1.9287881564073885
TCGA-BH-A0DI-11A	normal	Solid Tissue Normal	1.2215861221157864	3.3217467399033316
TCGA-BH-A0DK-11A	normal	Solid Tissue Normal	2.5902208951329757	3.307878494230879
TCGA-BH-A0DP-11A	normal	Solid Tissue Normal	2.519652565151654	3.784598143844311
TCGA-BH-A0DQ-11A	normal	Solid Tissue Normal	3.0689485628438673	1.938784256465632
TCGA-BH-A0DV-11A	normal	Solid Tissue Normal	3.231153371919498	2.3512737896117
TCGA-BH-A0DZ-11A	normal	Solid Tissue Normal	3.076025438204166	2.2848030241116786
TCGA-BH-A0E0-11A	normal	Solid Tissue Normal	3.2847717727547865	2.37262094872264
TCGA-BH-A0E1-11A	normal	Solid Tissue Normal	2.2147069022973733	2.829694270724475
TCGA-BH-A0H7-11A	normal	Solid Tissue Normal	2.042153520365231	2.2079482847288694
TCGA-BH-A0H9-11A	normal	Solid Tissue Normal	4.635055516133479	-1.8818197747059913
TCGA-BH-A0HA-11A	normal	Solid Tissue Normal	3.2302525583302266	2.313632034032476
TCGA-BH-A0HK-11A	normal	Solid Tissue Normal	3.667853744140163	1.746087144061182
TCGA-BH-A1EN-11A	normal	Solid Tissue Normal	3.64865457168796	-0.9598613516451273
TCGA-BH-A1EO-11A	normal	Solid Tissue Normal	4.4002962219969906	-2.640841121669354
TCGA-BH-A1ES-11A	normal	Solid Tissue Normal	3.0040527364437812	1.4314622591732353
TCGA-BH-A1ET-11B	normal	Solid Tissue Normal	3.4362613562748856	0.5787107338867818
TCGA-BH-A1EU-11A	normal	Solid Tissue Normal	3.7185153765722174	1.9020822014851313
TCGA-BH-A1EV-11A	normal	Solid Tissue Normal	3.249110722820529	1.2232214742133984
TCGA-BH-A1EW-11B	normal	Solid Tissue Normal	2.119432159888749	1.290293507772691
TCGA-BH-A1EY-11B	normal	Solid Tissue Normal	3.3842305850976997	0.7772728336954026
TCGA-BH-A1F0-11B	normal	Solid Tissue Normal	3.6830395674473086	0.2786189659077474
TCGA-BH-A1F2-11A	normal	Solid Tissue Normal	4.066196675470265	0.17121777320656648
TCGA-BH-A1F5-11A	normal	Solid Tissue Normal	2.187528380243295	1.6530044639665957
TCGA-BH-A1F6-11B	normal	Solid Tissue Normal	3.741386416690388	-0.6143793457344292
TCGA-BH-A1F8-11B	normal	Solid Tissue Normal	3.4381610037546326	0.2978559272277958
TCGA-BH-A1FB-11A	normal	Solid Tissue Normal	2.92587975622995	2.093223041559508
TCGA-BH-A1FC-11A	normal	Solid Tissue Normal	2.9587518566540187	-0.6972306278636139
TCGA-BH-A1FD-11B	normal	Solid Tissue Normal	3.5249265686828117	-0.06333733998520336
TCGA-BH-A1FE-11B	normal	Solid Tissue Normal	2.978365248267292	0.9731342719286767
TCGA-BH-A1FG-11B	normal	Solid Tissue Normal	3.6959776089699887	0.75113228186249
TCGA-BH-A1FH-11B	normal	Solid Tissue Normal	3.6468573706990655	0.41397454801617345
TCGA-BH-A1FJ-11B	normal	Solid Tissue Normal	3.415222770426681	0.49144426619571063
TCGA-BH-A1FM-11B	normal	Solid Tissue Normal	3.56620225100534	1.1386644418390148
TCGA-BH-A1FN-11A	normal	Solid Tissue Normal	3.321320211339679	0.044296062051891856
TCGA-BH-A1FR-11B	normal	Solid Tissue Normal	3.4635016835907644	0.01721143811561467
TCGA-BH-A203-11A	normal	Solid Tissue Normal	3.7309084983395766	1.2965067119648763
TCGA-BH-A204-11A	normal	Solid Tissue Normal	3.552182260220025	-2.215976819664745
TCGA-BH-A208-11A	normal	Solid Tissue Normal	1.9591795222109247	1.383340016656229
TCGA-BH-A209-11A	normal	Solid Tissue Normal	2.961249290391659	-0.9023336022187588
TCGA-E2-A15I-11A	normal	Solid Tissue Normal	4.155046609160752	-1.4756771838441967
TCGA-E2-A15K-11A	normal	Solid Tissue Normal	3.7533047572292784	-0.2135621231312938
TCGA-E2-A1B5-11A	normal	Solid Tissue Normal	3.3548270137052056	1.2158029118434108
TCGA-E2-A1BC-11A	normal	Solid Tissue Normal	4.489417801330514	-2.381587127822694
TCGA-E2-A1IF-11A	normal	Solid Tissue Normal	2.741085788281124	0.8338252789118347
TCGA-E2-A1II-11A	normal	Solid Tissue Normal	3.2887694631458952	0.45664994690854865
TCGA-E2-A1IO-11A	normal	Solid Tissue Normal	3.377328244500113	-2.0828420663235643
TCGA-E2-A1L7-11A	normal	Solid Tissue Normal	2.2223168037008176	0.29867800446035037
TCGA-E2-A1LB-11A	normal	Solid Tissue Normal	2.298987823166598	1.3058400323646966
TCGA-E2-A1LI-11A	normal	Solid Tissue Normal	1.998384585443206	-0.8075091218248174
TCGA-E2-A1LS-11A	normal	Solid Tissue Normal	3.8415024909729136	-2.9676173327147914
TCGA-E9-A1N4-11A	normal	Solid Tissue Normal	1.8730300390959707	1.8360300016257118
TCGA-E9-A1N5-11A	normal	Solid Tissue Normal	2.072870213583542	1.6654069190368967
TCGA-E9-A1N6-11A	normal	Solid Tissue Normal	2.7849040590484266	0.2507296139416761
TCGA-E9-A1N8-11A	normal	Solid Tissue Normal	3.7633172515240907	-1.4396845058776349
TCGA-E9-A1NA-11A	normal	Solid Tissue Normal	3.473324472471809	0.3851794416688472
TCGA-E9-A1ND-11A	normal	Solid Tissue Normal	3.4442144973971898	-0.7469234318956992
TCGA-E9-A1NE-11A	normal	Solid Tissue Normal	3.4986149026149866	1.312321014170626
TCGA-E9-A1NF-11A	normal	Solid Tissue Normal	4.456778392523979	-2.270804739388578
TCGA-E9-A1NG-11A	normal	Solid Tissue Normal	4.042164102400652	-1.4120595145094637
TCGA-E9-A1R7-11A	normal	Solid Tissue Normal	4.061306912982994	-1.562045538170394
TCGA-E9-A1RB-11A	normal	Solid Tissue Normal	2.786675410289225	-1.5930156299353075
TCGA-E9-A1RC-11A	normal	Solid Tissue Normal	3.7510008414723046	-3.1857165426024743
TCGA-E9-A1RD-11A	normal	Solid Tissue Normal	3.3840574018810234	-1.6232126899385217
TCGA-E9-A1RF-11A	normal	Solid Tissue Normal	3.822004957814559	-2.6638558006375397
TCGA-E9-A1RH-11A	normal	Solid Tissue Normal	4.065051835320769	-1.5660749904454434
TCGA-E9-A1RI-11A	normal	Solid Tissue Normal	4.131077163841183	-1.9253390778451585
