sample_barcode	missing_fraction	retained
TCGA-AN-A0XU-01A	0.16873327649804593	True
TCGA-AN-A0XV-01A	0.17950173460171687	True
TCGA-AN-A0XW-01A	0.19314853424044703	True
TCGA-AO-A03L-01A	0.1602522980307417	True
TCGA-AO-A03M-01B	0.1655679448979075	True
TCGA-AO-A03N-01B	0.1754796532484743	True
TCGA-AO-A03U-01B	0.16535903301229837	True
TCGA-AO-A0JA-01A	0.18179554490128386	True
TCGA-AO-A0JB-01A	0.17814064201365734	True
TCGA-AO-A0JC-01A	0.16100142650944113	True
TCGA-AO-A0JD-01A	0.1776025356416338	True
TCGA-AO-A0JE-01A	0.15965932591098245	True
TCGA-AO-A0JF-01A	0.18908213824480252	True
TCGA-AO-A0JG-01A	0.15991044221792675	True
TCGA-AO-A0JI-01A	0.17671835301466182	True
TCGA-AO-A0JJ-01A	0.16885144887778444	True
TCGA-AO-A0JL-01A	0.1823906272421099	True
TCGA-AO-A0JM-01A	0.16598154822699226	True
TCGA-AO-A124-01A	0.18312920461547552	True
TCGA-AO-A125-01A	0.1683449958217623	True
TCGA-AO-A126-01A	0.17043833511998718	True
TCGA-AO-A128-01A	0.17543111816393886	True
TCGA-AO-A129-01A	0.16854335660203762	True
TCGA-AO-A12B-01A	0.1652493015168269	True
TCGA-AO-A12C-01A	0.1551877674705202	True
TCGA-AO-A12E-01A	0.17430214989322282	True
TCGA-AO-A12G-01A	0.16519654599015793	True
TCGA-AO-A1KO-01A	0.13716225911826524	True
TCGA-AO-A1KP-01A	0.14096487748056485	True
TCGA-AO-A1KR-01A	0.13580327675127246	True
TCGA-AO-A1KS-01A	0.14300546125212077	True
TCGA-AO-A1KT-01A	0.1545758033611601	True
TCGA-AQ-A04H-01B	0.17628997813810976	True
TCGA-AQ-A04L-01B	0.17863443374327895	True
TCGA-AQ-A0Y5-01A	0.14325024689586482	True
TCGA-AQ-A1H2-01A	0.14266149521823906	True
TCGA-AQ-A1H3-01A	0.13854867435912585	True
TCGA-AQ-A54N-01A	0.15755543550742376	True
TCGA-AQ-A7U7-01A	0.142880958209182	True
TCGA-AR-A0TP-01A	0.1975715575963738	True
TCGA-AR-A0TQ-01A	0.15345738619577787	True
TCGA-AR-A0TR-01A	0.18756277907673607	True
TCGA-AR-A0TT-01A	0.18944720648935182	True
TCGA-AR-A0TU-01A	0.18035637413375424	True
TCGA-AR-A0TV-01A	0.18412100851685223	True
TCGA-AR-A0TW-01A	0.17802880029711912	True
TCGA-AR-A0TX-01A	0.162385731529235	True
TCGA-AR-A0TZ-01A	0.16101197761477493	True
TCGA-AR-A0U0-01A	0.1924964759308185	True
TCGA-AR-A0U2-01A	0.2049066860244279	True
TCGA-AR-A0U3-01A	0.18538292071477408	True
TCGA-AR-A0U4-01A	0.16753467093212684	True
TCGA-AR-A1AI-01A	0.1413531581568485	True
TCGA-AR-A1AJ-01A	0.17039402047758523	True
TCGA-AR-A1AK-01A	0.16397472799250448	True
TCGA-AR-A1AL-01A	0.17033493428771598	True
TCGA-AR-A1AM-01A	0.13514488777844366	True
TCGA-AR-A1AN-01A	0.15636105038363818	True
TCGA-AR-A1AO-01A	0.15455681137155927	True
TCGA-AR-A1AP-01A	0.14273957339770915	True
TCGA-AR-A1AQ-01A	0.15106439550607323	True
