sample_barcode	sample_class	sample_group_label	sample_type	PC1	PC2
TCGA-E2-A1LS-01A	tumor	Basal	Primary Tumor	1.8806285365399147	-2.2462962750331115
TCGA-E2-A573-01A	tumor	Basal	Primary Tumor	4.918617865052737	-1.3869051325668535
TCGA-E2-A574-01A	tumor	Basal	Primary Tumor	1.171679968721233	-4.661825935087331
TCGA-E9-A1N8-01A	tumor	Basal	Primary Tumor	5.032025698053379	-2.487970409184458
TCGA-E9-A1N9-01A	tumor	Basal	Primary Tumor	1.1351741698382782	1.5928503987446938
TCGA-E9-A1NC-01A	tumor	Basal	Primary Tumor	3.92690055588771	-3.236232105099784
TCGA-E9-A1ND-01A	tumor	Basal	Primary Tumor	3.2069600252979593	-0.5412472092514604
TCGA-E9-A22G-01A	tumor	Basal	Primary Tumor	2.55060931668722	-3.4933723393938827
TCGA-E9-A243-01A	tumor	Basal	Primary Tumor	4.369905290473095	-1.9579752639226655
TCGA-E9-A244-01A	tumor	Basal	Primary Tumor	3.02697021770876	-2.8507183565993355
TCGA-E9-A3QA-01A	tumor	Basal	Primary Tumor	5.109013957213491	-1.481659428073035
TCGA-E9-A5FL-01A	tumor	Basal	Primary Tumor	3.994465631340611	-1.9047494951673651
TCGA-EW-A1OW-01A	tumor	Basal	Primary Tumor	2.4039093977211925	-5.850348289843162
TCGA-EW-A1P4-01A	tumor	Basal	Primary Tumor	4.165799054100327	-1.812132789487074
TCGA-EW-A1P8-01A	tumor	Basal	Primary Tumor	4.918070675182382	-2.305304194290994
TCGA-EW-A1PB-01A	tumor	Basal	Primary Tumor	4.28763785918563	0.07178472275643992
TCGA-EW-A1PH-01A	tumor	Basal	Primary Tumor	1.907053357209471	-6.331281130235733
TCGA-EW-A3U0-01A	tumor	Basal	Primary Tumor	3.9899927031473235	-3.45181370618152
TCGA-EW-A6SB-01A	tumor	Basal	Primary Tumor	3.608676744837584	-2.2524668575486695
TCGA-GI-A2C9-01A	tumor	Basal	Primary Tumor	2.911131151533879	-1.5120050750753524
TCGA-GM-A2DF-01A	tumor	Basal	Primary Tumor	3.3885359406481452	-0.844592233385362
TCGA-GM-A3XL-01A	tumor	Basal	Primary Tumor	4.492325918667707	1.459387109326794
TCGA-HN-A2NL-01A	tumor	Basal	Primary Tumor	3.358755175232971	1.6727517462485673
TCGA-LL-A5YP-01A	tumor	Basal	Primary Tumor	4.3728137244081475	-2.8162120793647407
TCGA-LL-A6FR-01A	tumor	Basal	Primary Tumor	3.526015979757809	-3.921462632108714
TCGA-LL-A73Y-01A	tumor	Basal	Primary Tumor	5.0407128669232595	-1.9115398348953412
TCGA-LL-A8F5-01A	tumor	Basal	Primary Tumor	2.5965466842695704	-0.2500583773763172
TCGA-OL-A5D7-01A	tumor	Basal	Primary Tumor	3.686869127083271	2.1090943760044105
TCGA-OL-A5RW-01A	tumor	Basal	Primary Tumor	4.8193546089682915	-0.10936613553449825
