sample_barcode	sample_class	sample_type	PC1	PC2
TCGA-E9-A1R7-11A	normal	Solid Tissue Normal	5.944915489654796	-0.7706424701200013
TCGA-E9-A1RB-11A	normal	Solid Tissue Normal	4.746143648057931	-1.189846615972293
TCGA-E9-A1RC-11A	normal	Solid Tissue Normal	5.664523914656393	-1.5521775895091006
TCGA-E9-A1RD-11A	normal	Solid Tissue Normal	5.35786569474954	-1.3235185942057348
TCGA-E9-A1RF-11A	normal	Solid Tissue Normal	5.418524352578871	-1.239022966409587
TCGA-E9-A1RH-11A	normal	Solid Tissue Normal	5.803329860782836	-0.9766099147215587
TCGA-E9-A1RI-11A	normal	Solid Tissue Normal	5.972964590751448	-1.0636555197843023
TCGA-3C-AAAU-01A	tumor	Primary Tumor	-3.326884376845567	-2.5647730977286516
TCGA-3C-AALI-01A	tumor	Primary Tumor	-2.458857506435808	-1.2045587669621394
TCGA-3C-AALJ-01A	tumor	Primary Tumor	-2.717545377807188	1.5263155378978004
TCGA-3C-AALK-01A	tumor	Primary Tumor	-1.2671831052289164	2.540350184025653
TCGA-4H-AAAK-01A	tumor	Primary Tumor	-0.7684562564607849	-0.05458416267416807
TCGA-5L-AAT0-01A	tumor	Primary Tumor	-0.3144135257698167	-0.7878995397907644
TCGA-5L-AAT1-01A	tumor	Primary Tumor	-0.17013089938048798	0.45931431586468563
TCGA-5T-A9QA-01A	tumor	Primary Tumor	-2.9364813958021383	7.813862661933535
TCGA-A1-A0SB-01A	tumor	Primary Tumor	4.981179191708869	-2.5058757567513377
TCGA-A1-A0SE-01A	tumor	Primary Tumor	-0.9335661469275007	0.017025735141166592
TCGA-A1-A0SF-01A	tumor	Primary Tumor	-1.400100736238145	-1.2708157615849323
TCGA-A1-A0SG-01A	tumor	Primary Tumor	-2.5699640043661054	-3.7857520993181324
TCGA-A1-A0SH-01A	tumor	Primary Tumor	0.64541315639863	0.21430134491038302
TCGA-A1-A0SI-01A	tumor	Primary Tumor	-1.6885798512729515	-2.7502403987389052
TCGA-A1-A0SJ-01A	tumor	Primary Tumor	-1.2986329014818483	2.502347573926819
TCGA-A1-A0SK-01A	tumor	Primary Tumor	3.4258953271981296	-1.6677978727484755
TCGA-A1-A0SM-01A	tumor	Primary Tumor	0.04026925962668344	4.090166806621937
TCGA-A1-A0SN-01A	tumor	Primary Tumor	-1.6043607170516037	3.784252811627595
TCGA-A1-A0SO-01A	tumor	Primary Tumor	2.1543933759157308	1.8539713617071172
TCGA-A1-A0SP-01A	tumor	Primary Tumor	2.173078874682004	-0.29615682089694556
TCGA-A1-A0SQ-01A	tumor	Primary Tumor	-5.248857603269013	-4.362978983875704
TCGA-A2-A04R-01A	tumor	Primary Tumor	-7.077684714267549	-2.408612991253892
TCGA-A2-A0CK-01A	tumor	Primary Tumor	-1.4403058366397827	1.3751773625594643
TCGA-A2-A0CO-01A	tumor	Primary Tumor	-2.089745839621646	-0.8108396918607008
TCGA-A2-A0CR-01A	tumor	Primary Tumor	1.8172895524867674	1.000998222669291
TCGA-A2-A0CT-01A	tumor	Primary Tumor	-4.664074835715961	5.673680563908011
TCGA-A2-A0EN-01A	tumor	Primary Tumor	0.8798396672453548	0.9206044535478219
TCGA-A2-A0EP-01A	tumor	Primary Tumor	4.533680473900955	0.8658944667399371
TCGA-A2-A0EU-01A	tumor	Primary Tumor	-3.2899309304181386	-2.2049375093232
TCGA-A2-A0ST-01A	tumor	Primary Tumor	4.246302583211512	-0.3687677302085017
TCGA-A2-A0SU-01A	tumor	Primary Tumor	1.7914899466365022	-0.6093289253289589
TCGA-A2-A0SV-01A	tumor	Primary Tumor	-2.0583256201183286	0.07831027755541271
TCGA-A2-A0SW-01A	tumor	Primary Tumor	-3.279889638397718	-3.745937540035647
TCGA-A2-A0SX-01A	tumor	Primary Tumor	4.046723863676163	-0.8851298987325115
TCGA-A2-A0SY-01A	tumor	Primary Tumor	-1.6595914597368182	3.9744015649610898
TCGA-A2-A0T0-01A	tumor	Primary Tumor	2.715196297577057	-3.2959034351529897
TCGA-A2-A0T1-01A	tumor	Primary Tumor	1.6728785474277712	-1.367618490203028
TCGA-A2-A0T2-01A	tumor	Primary Tumor	1.1187498939681735	-2.4384017865311827
TCGA-A2-A0T4-01A	tumor	Primary Tumor	0.7261522183647172	3.7964399304370477
TCGA-A2-A0T5-01A	tumor	Primary Tumor	-0.08481652883845989	1.584866125267243
TCGA-A2-A0T6-01A	tumor	Primary Tumor	-0.5055341702331692	3.820312668303771
TCGA-A2-A0T7-01A	tumor	Primary Tumor	0.7567929733693549	0.6127297584144104
TCGA-A2-A0YC-01A	tumor	Primary Tumor	-3.577371596144773	0.6267204491677294
TCGA-A2-A0YD-01A	tumor	Primary Tumor	0.07449621311202946	2.297413262067531
TCGA-A2-A0YE-01A	tumor	Primary Tumor	0.9851509832933459	-4.337978268604711
TCGA-A2-A0YF-01A	tumor	Primary Tumor	-4.344715776292937	-2.0987280312961163
TCGA-A2-A0YG-01A	tumor	Primary Tumor	-2.216322238970608	4.382691440947146
TCGA-A2-A0YH-01A	tumor	Primary Tumor	-1.1130297991796776	-4.947484618119801
TCGA-A2-A0YI-01A	tumor	Primary Tumor	0.2913761732919729	1.905028336344765
TCGA-A2-A0YJ-01A	tumor	Primary Tumor	1.1744257236955247	-6.04392984168076
TCGA-A2-A0YK-01A	tumor	Primary Tumor	1.3541186351805647	1.1988992024307124
TCGA-A2-A0YL-01A	tumor	Primary Tumor	0.9554147912952999	-0.561940985851542
TCGA-A2-A0YM-01A	tumor	Primary Tumor	3.263651860123181	2.1094910493244488
TCGA-A2-A0YT-01A	tumor	Primary Tumor	-5.397757457231272	-3.14558346598531
TCGA-A2-A1FV-01A	tumor	Primary Tumor	-7.661937072000034	-0.25660472933562456
TCGA-A2-A1FW-01A	tumor	Primary Tumor	-5.748883521285617	-0.1636472460593069
TCGA-A2-A1FX-01A	tumor	Primary Tumor	-4.382143411655211	-2.051155857309151
TCGA-A2-A1FZ-01A	tumor	Primary Tumor	0.6043196739532974	2.2269414706359387
TCGA-A2-A1G0-01A	tumor	Primary Tumor	-0.4903262009330285	-2.3466058366617446
TCGA-A2-A1G1-01A	tumor	Primary Tumor	1.4242325267823432	-1.0282462423228145
TCGA-A2-A1G4-01A	tumor	Primary Tumor	-2.2599232028373373	2.9796912777173294
TCGA-A2-A1G6-01A	tumor	Primary Tumor	4.696520377937815	0.3747694365896895
TCGA-A2-A259-01A	tumor	Primary Tumor	1.8757957449738516	0.7891813809418513
TCGA-A2-A25A-01A	tumor	Primary Tumor	0.8259887953369067	1.6411426475017763
TCGA-A2-A25B-01A	tumor	Primary Tumor	-4.872821805515503	-2.4520831731895796
TCGA-A2-A25C-01A	tumor	Primary Tumor	-0.15276213812095538	1.8327575945598402
TCGA-A2-A25D-01A	tumor	Primary Tumor	-1.1652393092785311	-0.6869461094259821
TCGA-A2-A25E-01A	tumor	Primary Tumor	-3.4564890289012684	-1.2832788102344603
TCGA-A2-A25F-01A	tumor	Primary Tumor	4.653041079855816	0.60092011836123
TCGA-A2-A3KC-01A	tumor	Primary Tumor	0.021496870358081545	2.2034831582447643
TCGA-A2-A3KD-01A	tumor	Primary Tumor	1.0122086250328293	0.7501483167596893
TCGA-A2-A3XS-01A	tumor	Primary Tumor	2.044597743609097	0.7493295342570062
TCGA-A2-A3XT-01A	tumor	Primary Tumor	2.5587023970681115	-1.4387371171462775
TCGA-A2-A3XU-01A	tumor	Primary Tumor	2.285070430961779	-3.1825627322864367
TCGA-A2-A3XV-01A	tumor	Primary Tumor	-1.1719028284051023	2.811549526950224
TCGA-A2-A3XW-01A	tumor	Primary Tumor	3.7859256186126498	0.38581025017337983
TCGA-A2-A3XX-01A	tumor	Primary Tumor	3.2788938670244816	0.004182648241921582
TCGA-A2-A3XY-01A	tumor	Primary Tumor	3.6350403843674717	-0.9937454952848018
TCGA-A2-A3XZ-01A	tumor	Primary Tumor	3.3126575456561196	0.8086459770602876
TCGA-A2-A3Y0-01A	tumor	Primary Tumor	2.5194660946673655	-3.548214545104403
TCGA-A2-A4RW-01A	tumor	Primary Tumor	1.147894115250665	3.0452982459999984
TCGA-A2-A4RX-01A	tumor	Primary Tumor	3.959485178551378	-0.13356832346576697
TCGA-A2-A4RY-01A	tumor	Primary Tumor	3.030043994979009	1.047981031406102
TCGA-A2-A4S0-01A	tumor	Primary Tumor	0.4216354005957011	-1.2550143264594447
TCGA-A2-A4S1-01A	tumor	Primary Tumor	1.3152386121337867	-3.2878092888320354
TCGA-A2-A4S2-01A	tumor	Primary Tumor	-1.0297349520508348	1.2667431024177365
TCGA-A2-A4S3-01A	tumor	Primary Tumor	0.10605203146216277	-2.609920181102132
TCGA-A7-A0D9-01A	tumor	Primary Tumor	-1.9760948539527208	2.6953021512774895
TCGA-A7-A0DC-01B	tumor	Primary Tumor	-2.681864955489199	-2.696455063129829
TCGA-A7-A13D-01A	tumor	Primary Tumor	2.498730954726064	-0.2016176335797395
TCGA-A7-A13E-01A	tumor	Primary Tumor	0.0985883416087651	-0.843040240739737
TCGA-A7-A13F-01A	tumor	Primary Tumor	-5.003120724769166	1.2566012762393235
TCGA-A7-A13G-01A	tumor	Primary Tumor	-0.8134835023667691	1.1394388545080505
TCGA-A7-A13G-01B	tumor	Primary Tumor	0.5704336942311862	1.7408256270100682
TCGA-A7-A13H-01A	tumor	Primary Tumor	0.7390723662636036	0.25536682506178726
TCGA-A7-A26E-01A	tumor	Primary Tumor	-1.6586722875300937	3.3823637263825943
TCGA-A7-A26E-01B	tumor	Primary Tumor	-1.293801544063129	3.4149800825446475
TCGA-A7-A26F-01A	tumor	Primary Tumor	0.7604269549933259	0.634735350877811
TCGA-A7-A26F-01B	tumor	Primary Tumor	0.8527343968974166	1.5426625814491097
TCGA-A7-A26G-01A	tumor	Primary Tumor	3.370136815610331	-2.4095798569187057
TCGA-A7-A26H-01A	tumor	Primary Tumor	-2.7154618607354384	0.3934390495300974
TCGA-A7-A26I-01A	tumor	Primary Tumor	3.928292185661568	-1.997370097864109
TCGA-A7-A26J-01A	tumor	Primary Tumor	-4.021152797844378	1.0081478362106795
TCGA-A7-A26J-01B	tumor	Primary Tumor	-1.2583920709139325	1.433427814900823
TCGA-A7-A2KD-01A	tumor	Primary Tumor	-2.737749466177281	-3.5247598885289384
TCGA-A7-A3IY-01A	tumor	Primary Tumor	3.6835078800779537	-1.1316398197717659
TCGA-A7-A3IZ-01A	tumor	Primary Tumor	-6.405465991217083	-1.21173139591361
TCGA-A7-A3J0-01A	tumor	Primary Tumor	-0.18221124682231576	-3.432465624375311
TCGA-A7-A3J1-01A	tumor	Primary Tumor	-0.12768519540390308	1.1508814432901273
TCGA-A7-A3RF-01A	tumor	Primary Tumor	-3.649082774433127	-4.340510169707445
TCGA-A7-A425-01A	tumor	Primary Tumor	-1.2710437323946777	-1.6667696397918983
TCGA-A7-A426-01A	tumor	Primary Tumor	-0.35761654674622634	0.26424757389578474
TCGA-A7-A4SA-01A	tumor	Primary Tumor	0.7010513203854434	-2.0494042526529066
