method	collection	direction	term	ID	Description	Size	enrichmentScore	NES	pvalue	padj	leading_edge	core_enrichment
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0019065	GO:0019065	receptor-mediated endocytosis of virus by host cell	10	0.551435221439507	1.1522376291041	0.233539094650206	0.487355449666224	tags=80%, list=42%, signal=46%	CAV1/CAV2/DPP4/TPCN2/EPS15/SIGLEC1/PIKFYVE/RNASEK
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0042730	GO:0042730	fibrinolysis	26	0.486411228508573	1.12442501293137	0.233766233766234	0.487355449666224	tags=38%, list=35%, signal=25%	SERPING1/PLAU/PLAT/THBD/FAP/ANXA2/SERPINF2/SERPINE1/GP1BA/PLAUR
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0035330	GO:0035330	regulation of hippo signaling	34	0.469958664952453	1.1055901817101	0.233766233766234	0.487355449666224	tags=38%, list=23%, signal=29%	CIT/SHANK2/SOX11/VGLL4/MAP4K4/SCHIP1/FRMD6/WWC2/SRC/WWC1/CORO7/WTIP/PPP2R1A
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0140303	GO:0140303	intramembrane lipid transporter activity	44	0.45666476290512	1.1005211015365	0.233766233766234	0.487355449666224	tags=57%, list=37%, signal=36%	ABCB1/ATP10A/ATP8A2/XKR4/ATP8B2/ANO3/PLSCR4/ATP11A/ABCB4/ABCG1/ATG9B/ANO9/ATP8B3/ATP10D/ATP9A/ANO6/ABCA3/ABCA4/ABCA7/ANO4/ABCA1/CLPTM1L/PLSCR3/ATP11B/ABCA2
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0042098	GO:0042098	T cell proliferation	202	0.40466462979295	1.05257817442339	0.233766233766234	0.487355449666224	tags=42%, list=38%, signal=26%	BMP4/CARD11/CD1D/CD81/EPO/HLA-DPB1/HLA-G/IHH/LEP/MAD1L1/SHH/TNFSF13B/AGER/RASAL3/PRKCQ/CD70/PYCARD/PLA2G5/IL12B/SCRIB/MIR181C/CLEC4G/BCL6/DOCK2/P2RX7/TNFRSF1B/LRRC32/STAT5B/ABL1/CDKN2A/CCDC88B/IL4I1/HLA-E/IL23A/IGFBP2/FYN/FOXJ1/GPNMB/NCK2/CCND3/TNFSF9/GJA1/FADD/TGFBR2/MAPK8IP1/IGF1/PRKAR1A/CD6/ZAP70/ALKBH5/CR1/VCAM1/LGALS3/SPN/IL1B/TP53/ERBB2/TWSG1/FKBP1B/PPP3CA/LIPA/SLC7A1/EFNB1/CD276/TSPAN32/NCK1/TGFB1/IL1A/SLC4A2/WNT4/TRAF6/CD55/SH2D2A/ANXA1/PDCD1LG2/LMO1/PRNP/LMBR1L/BID/ARMC5/HLA-DRB1/IL27/RASGRP1/RAC2
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0020037	GO:0020037	heme binding	130	0.41451843720452	1.06288859544043	0.234765234765235	0.489232289887532	tags=46%, list=41%, signal=27%	CYP11A1/CYP1A1/CYP24A1/CYP26B1/CYP26C1/CYP7B1/DUOX1/HBM/KCNH7/NGB/NOS1/NOX4/PTGS2/PXDN/CYGB/DUOX2/CYP26A1/HBQ1/CYP4F22/CYP1B1/CYBA/CYP2U1/CYP27A1/NOS3/CYP2W1/PTGIS/SRC/PGRMC1/THAP4/ABCB6/CYP4X1/STC2/CYP19A1/MPO/IDO2/GUCY1A2/SUOX/MB/LPO/CYB561D2/NOS2/CYP27B1/HEBP2/CYP2E1/NR1D1/CYB5A/HEBP1/PTGS1/TPO/HMOX2/PXDNL/CYP39A1/BACH1/DGCR8/CYP27C1/CYP2B6/CYP2S1/HBZ/CYB5R4/FA2H
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0010880	GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	30	0.477798629718525	1.11172109820939	0.235764235764236	0.49057233657133	tags=53%, list=37%, signal=34%	PDE4D/RYR2/SLC8A1/CACNA1C/GSTM2/CAMK2D/PRKACA/ANK2/CASQ1/FKBP1A/FKBP1B/CALM3/DMD/ASPH/CHD7/TMEM38A
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0001556	GO:0001556	oocyte maturation	30	0.477780976668036	1.11168002385828	0.235764235764236	0.49057233657133	tags=60%, list=38%, signal=37%	BNC1/PDE3A/MOS/ZAR1/EDNRA/NPPC/EREG/SHB/PPP2R1A/NPR2/INSL3/FOXO3/REC8/DMC1/BRCA2/CDC25B/EDN1/YTHDF2
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0032872	GO:0032872	regulation of stress-activated MAPK cascade	36	0.465962211022199	1.10349806572192	0.235764235764236	0.49057233657133	tags=69%, list=46%, signal=37%	GSTP1/TGFB2/IGFBP6/SEMA4C/NOD1/NOD2/STK25/EIF2AK2/CARD9/MAP2K2/TAOK3/FAS/IL1A/FOXO1/MID1/MAPK8IP2/TAOK2/MAPK1/TLR4/MAPK3/MAP2K1/PBK/MYC/NBR1/PRDX1
methylGSA_methylRRA_GSEA	GO	hypermethylated	GO:0006090	GO:0006090	pyruvate metabolic process	120	0.415649105849694	1.06214793509267	0.235764235764236	0.49057233657133	tags=52%, list=40%, signal=32%	FOXK1/HDAC4/LDHB/PKLR/RPTOR/OGDHL/ACTN3/ALDOC/SLC16A1/PC/GAPDHS/ME3/ZBTB20/FOXK2/PFKP/ZBTB7A/UCHL1/PFKFB3/PDK4/CBFA2T3/P2RX7/SLC4A4/PDK2/PRKACA/NCOR1/HTR2A/GCK/PRKAG2/MLXIPL/GIT1/SRC/IGF1/BCKDK/FLCN/LDHAL6A/PFKFB2/TREX1/COL6A1/ME1/MLST8/LIPA/PGAM2/SDS/BPGM/ENO3/PRKAG3/ADPGK/HK3/HK1/MTOR/LDHC/FKRP/SLC2A6/KAT2B/ENO1/PFKL/STAT3/INSR/TRIM63/OGDH/PCK2/DDIT4/SLC16A3
