method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypermethylated	GO:0000182	MF	rDNA binding	10	3	0.554584804045265	1
missMethyl_gometh	GO	hypermethylated	GO:0000183	BP	rDNA heterochromatin formation	9	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000184	BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	45	6	0.953104777707589	1
missMethyl_gometh	GO	hypermethylated	GO:0000209	BP	protein polyubiquitination	260	40	0.999474614567223	1
missMethyl_gometh	GO	hypermethylated	GO:0000210	MF	NAD+ diphosphatase activity	3	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000212	BP	meiotic spindle organization	22	2	0.904402242064532	1
missMethyl_gometh	GO	hypermethylated	GO:0000213	MF	tRNA-intron endonuclease activity	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000214	CC	tRNA-intron endonuclease complex	4	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000215	MF	tRNA 2'-phosphotransferase activity	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000217	MF	DNA secondary structure binding	39	8	0.79592371599081	1
missMethyl_gometh	GO	hypermethylated	GO:0000220	CC	vacuolar proton-transporting V-type ATPase, V0 domain	10	3	0.513621286432062	1
missMethyl_gometh	GO	hypermethylated	GO:0000221	CC	vacuolar proton-transporting V-type ATPase, V1 domain	12	2	0.670497645397841	1
missMethyl_gometh	GO	hypermethylated	GO:0000224	MF	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1	0	1.00000000000548	1
missMethyl_gometh	GO	hypermethylated	GO:0000225	MF	N-acetylglucosaminylphosphatidylinositol deacetylase activity	1	1	0.287801924304892	1
missMethyl_gometh	GO	hypermethylated	GO:0000226	BP	microtubule cytoskeleton organization	664	141	0.93479544075209	1
missMethyl_gometh	GO	hypermethylated	GO:0000228	CC	nuclear chromosome	233	37	0.97721765428653	1
missMethyl_gometh	GO	hypermethylated	GO:0000235	CC	astral microtubule	11	2	0.713940213729621	1
missMethyl_gometh	GO	hypermethylated	GO:0000242	CC	pericentriolar material	21	1	0.99588615761548	1
missMethyl_gometh	GO	hypermethylated	GO:0000243	CC	commitment complex	5	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000244	BP	spliceosomal tri-snRNP complex assembly	19	5	0.38612252104594	1
missMethyl_gometh	GO	hypermethylated	GO:0000245	BP	spliceosomal complex assembly	79	6	0.999672957041736	1
missMethyl_gometh	GO	hypermethylated	GO:0000246	MF	delta24(24-1) sterol reductase activity	1	0	0.999999999996236	1
missMethyl_gometh	GO	hypermethylated	GO:0000247	MF	C-8 sterol isomerase activity	1	0	1.00000000002909	1
missMethyl_gometh	GO	hypermethylated	GO:0000248	MF	C-5 sterol desaturase activity	2	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000250	MF	lanosterol synthase activity	1	0	0.999999999992435	1
missMethyl_gometh	GO	hypermethylated	GO:0000252	MF	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	1	0	1.00000000000581	1
missMethyl_gometh	GO	hypermethylated	GO:0000253	MF	3-keto sterol reductase activity	5	0	1	1
missMethyl_gometh	GO	hypermethylated	GO:0000254	MF	C-4 methylsterol oxidase activity	3	2	0.10940766437472	0.821490688042197
missMethyl_gometh	GO	hypermethylated	GO:0000255	BP	allantoin metabolic process	9	3	0.27591228599067	1
missMethyl_gometh	GO	hypermethylated	GO:0000256	BP	allantoin catabolic process	1	0	0.999999999988178	1
missMethyl_gometh	GO	hypermethylated	GO:0000262	CC	mitochondrial chromosome	2	0	1	1
