method	collection	direction	term	ONTOLOGY	TERM	N	DE	P.DE	FDR
missMethyl_gometh	GO	hypomethylated	GO:0030262	BP	apoptotic nuclear changes	31	5	0.754607580560368	1
missMethyl_gometh	GO	hypomethylated	GO:0030263	BP	apoptotic chromosome condensation	6	1	0.766016629275006	1
missMethyl_gometh	GO	hypomethylated	GO:0030264	BP	nuclear fragmentation involved in apoptotic nuclear change	1	0	0.999999999995089	1
missMethyl_gometh	GO	hypomethylated	GO:0030267	MF	glyoxylate reductase (NADPH) activity	1	0	0.999999999973119	1
missMethyl_gometh	GO	hypomethylated	GO:0030272	MF	5-formyltetrahydrofolate cyclo-ligase activity	1	0	0.999999999990355	1
missMethyl_gometh	GO	hypomethylated	GO:0030273	MF	melanin-concentrating hormone receptor activity	1	0	1.00000000001847	1
missMethyl_gometh	GO	hypomethylated	GO:0030274	MF	LIM domain binding	6	3	0.169070983444298	1
missMethyl_gometh	GO	hypomethylated	GO:0030275	MF	LRR domain binding	16	4	0.455251399521667	1
missMethyl_gometh	GO	hypomethylated	GO:0030276	MF	clathrin binding	43	10	0.553689238197241	1
missMethyl_gometh	GO	hypomethylated	GO:0030277	BP	maintenance of gastrointestinal epithelium	24	9	0.037311933263895	1
missMethyl_gometh	GO	hypomethylated	GO:0030278	BP	regulation of ossification	124	25	0.864697841976762	1
missMethyl_gometh	GO	hypomethylated	GO:0030279	BP	negative regulation of ossification	40	10	0.478670772374118	1
missMethyl_gometh	GO	hypomethylated	GO:0030280	MF	structural constituent of skin epidermis	37	12	0.0110841804038686	0.594090855904956
missMethyl_gometh	GO	hypomethylated	GO:0030282	BP	bone mineralization	127	34	0.218197489873677	1
missMethyl_gometh	GO	hypomethylated	GO:0030283	MF	testosterone dehydrogenase [NAD(P)+] activity	11	1	0.872709953103635	1
missMethyl_gometh	GO	hypomethylated	GO:0030284	MF	nuclear estrogen receptor activity	4	2	0.303443379466454	1
missMethyl_gometh	GO	hypomethylated	GO:0030286	CC	dynein complex	54	11	0.477223561860832	1
missMethyl_gometh	GO	hypomethylated	GO:0030289	CC	protein phosphatase 4 complex	6	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030290	MF	sphingolipid activator protein activity	1	0	0.999999999993801	1
missMethyl_gometh	GO	hypomethylated	GO:0030291	MF	protein serine/threonine kinase inhibitor activity	42	8	0.782182726730134	1
missMethyl_gometh	GO	hypomethylated	GO:0030292	MF	protein tyrosine kinase inhibitor activity	7	2	0.41566021941548	1
missMethyl_gometh	GO	hypomethylated	GO:0030293	MF	transmembrane receptor protein tyrosine kinase inhibitor activity	1	1	0.130677610142647	1
missMethyl_gometh	GO	hypomethylated	GO:0030294	MF	receptor signaling protein tyrosine kinase inhibitor activity	1	0	1.00000000000377	1
missMethyl_gometh	GO	hypomethylated	GO:0030295	MF	protein kinase activator activity	133	25	0.754502486811983	1
missMethyl_gometh	GO	hypomethylated	GO:0030296	MF	protein tyrosine kinase activator activity	32	13	0.015181561478372	0.687126673457467
missMethyl_gometh	GO	hypomethylated	GO:0030297	MF	transmembrane receptor protein tyrosine kinase activator activity	18	7	0.100082453345551	1
missMethyl_gometh	GO	hypomethylated	GO:0030298	MF	receptor signaling protein tyrosine kinase activator activity	5	2	0.28480987918697	1
missMethyl_gometh	GO	hypomethylated	GO:0030299	BP	intestinal cholesterol absorption	18	2	0.857135368049288	1
missMethyl_gometh	GO	hypomethylated	GO:0030300	BP	regulation of intestinal cholesterol absorption	9	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030301	BP	cholesterol transport	123	21	0.865464857620995	1
missMethyl_gometh	GO	hypomethylated	GO:0030302	BP	deoxynucleotide transport	1	0	0.999999999947767	1
missMethyl_gometh	GO	hypomethylated	GO:0030305	MF	heparanase activity	2	1	0.451223163989687	1
missMethyl_gometh	GO	hypomethylated	GO:0030307	BP	positive regulation of cell growth	162	49	0.0150459584160799	0.687075372366607
missMethyl_gometh	GO	hypomethylated	GO:0030308	BP	negative regulation of cell growth	173	40	0.546314873333401	1
missMethyl_gometh	GO	hypomethylated	GO:0030309	BP	poly-N-acetyllactosamine metabolic process	9	2	0.483804739307499	1
missMethyl_gometh	GO	hypomethylated	GO:0030311	BP	poly-N-acetyllactosamine biosynthetic process	8	2	0.41575436946027	1
missMethyl_gometh	GO	hypomethylated	GO:0030312	CC	external encapsulating structure	558	153	0.00124253418165866	0.155518077127824
missMethyl_gometh	GO	hypomethylated	GO:0030314	CC	junctional membrane complex	6	2	0.425747705245151	1
missMethyl_gometh	GO	hypomethylated	GO:0030315	CC	T-tubule	53	16	0.15524768550332	1
missMethyl_gometh	GO	hypomethylated	GO:0030316	BP	osteoclast differentiation	110	31	0.0568810157160996	1
missMethyl_gometh	GO	hypomethylated	GO:0030317	BP	flagellated sperm motility	191	44	0.0360938566680471	1
missMethyl_gometh	GO	hypomethylated	GO:0030318	BP	melanocyte differentiation	25	15	0.000265031313439866	0.0530157280920246
missMethyl_gometh	GO	hypomethylated	GO:0030321	BP	transepithelial chloride transport	9	1	0.863651680230818	1
missMethyl_gometh	GO	hypomethylated	GO:0030322	BP	stabilization of membrane potential	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030323	BP	respiratory tube development	202	44	0.754923773346813	1
missMethyl_gometh	GO	hypomethylated	GO:0030324	BP	lung development	198	43	0.764660112386996	1
missMethyl_gometh	GO	hypomethylated	GO:0030325	BP	adrenal gland development	27	9	0.255469272112809	1
missMethyl_gometh	GO	hypomethylated	GO:0030326	BP	embryonic limb morphogenesis	123	31	0.582808498158083	1
missMethyl_gometh	GO	hypomethylated	GO:0030327	BP	prenylated protein catabolic process	3	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030328	BP	prenylcysteine catabolic process	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030329	BP	prenylcysteine metabolic process	2	0	1	1
missMethyl_gometh	GO	hypomethylated	GO:0030330	BP	DNA damage response, signal transduction by p53 class mediator	76	11	0.926737324890473	1
missMethyl_gometh	GO	hypomethylated	GO:0030331	MF	nuclear estrogen receptor binding	40	10	0.205502420440909	1
missMethyl_gometh	GO	hypomethylated	GO:0030332	MF	cyclin binding	34	3	0.978318679664903	1
missMethyl_gometh	GO	hypomethylated	GO:0030334	BP	regulation of cell migration	1050	247	0.129421135141652	1
