gene	direction	n_probes	max_abs_delta_beta	min_fdr
AC011611.3	hypermethylated	1	0.234583123229659	5.550909198029831e-66
AC011632.1	hypermethylated	1	0.3070033820866776	1.1798299644265394e-71
AC011700.1	hypermethylated	1	0.2565087052597396	9.1514939352606e-21
AC011773.3	hypermethylated	2	0.2248396496302497	9.952393370971096e-58
AC011815.2	hypermethylated	3	0.4096738169158714	5.392304682040914e-69
AC012101.2	hypermethylated	2	0.3171017103132181	1.998695519082214e-99
AC012123.1	hypermethylated	1	0.2156735247804921	1.4278255320213066e-72
AC012158.1	hypermethylated	1	0.2763710883830634	6.32108205803018e-36
AC012213.1	hypermethylated	2	0.2289275536004009	6.001690223270417e-66
AC012213.5	hypermethylated	2	0.2289275536004009	6.001690223270417e-66
AC012313.10	hypermethylated	2	0.2403331941392841	1.2597939387534663e-24
AC012313.2	hypermethylated	1	0.2013769872552719	3.098775352266119e-32
AC012313.3	hypermethylated	3	0.2403331941392841	3.098775352266119e-32
AC012313.8	hypermethylated	9	0.2982148034331439	1.6924128593842337e-167
AC012349.1	hypermethylated	13	0.3859656223785994	1.113365556551897e-201
AC012354.4	hypermethylated	1	0.2256121591871794	2.089585316058212e-55
AC012354.5	hypermethylated	3	0.2261099763599998	8.755801170411897e-108
AC012354.7	hypermethylated	4	0.3561298543100458	3.106778379636638e-79
AC012354.8	hypermethylated	2	0.2095020672933401	8.755801170411897e-108
AC012354.9	hypermethylated	8	0.3425772292455619	5.3166836402923205e-133
AC012378.2	hypermethylated	1	0.2084372203731992	1.1369317770192043e-88
AC012485.1	hypermethylated	8	0.3040420329825418	2.3444956279510213e-106
AC012501.2	hypermethylated	1	0.2398303321173304	2.598196250745666e-118
AC012508.1	hypermethylated	5	0.4073295385441335	1.0074886566221474e-128
AC012508.2	hypermethylated	5	0.4073295385441335	1.0074886566221474e-128
AC012508.3	hypermethylated	5	0.4073295385441335	1.0074886566221474e-128
AC012531.1	hypermethylated	4	0.319096852180407	4.598795473536174e-76
AC012531.2	hypermethylated	10	0.3386393762622035	1.0407539240322096e-102
AC012531.3	hypermethylated	13	0.3386393762622035	1.0407539240322096e-102
AC012531.7	hypermethylated	3	0.333159907562981	1.1357152140853576e-61
AC012560.1	hypermethylated	1	0.2095228672456404	3.500087028864852e-73
AC012574.1	hypermethylated	23	0.4008025222370853	7.138287397599448e-151
AC012574.2	hypermethylated	7	0.4008025222370853	7.711088133703514e-107
AC012613.1	hypermethylated	2	0.3580212361704424	1.959098165882859e-124
AC012613.2	hypermethylated	2	0.3580212361704424	1.959098165882859e-124
AC012615.3	hypermethylated	1	0.2100572909349533	2.0919881533497197e-44
AC012618.3	hypermethylated	3	0.2689329866812909	5.314460078862415e-69
AC012645.1	hypermethylated	2	0.2553521712814745	2.960811601164877e-90
AC013270.1	hypermethylated	1	0.2659858361082531	2.446523126021419e-135
AC013394.1	hypermethylated	1	0.2085465423635282	2.0857292503738327e-29
AC013477.1	hypermethylated	1	0.3164601779097132	1.93518823575508e-90
AC013564.1	hypermethylated	1	0.2048714236214236	1.7386981288938596e-18
AC013733.2	hypermethylated	6	0.3187630208767535	8.218950299640415e-122
AC015631.1	hypermethylated	1	0.2739224717601094	3.730771621665026e-101
AC015845.2	hypermethylated	4	0.4149038165554086	4.865459803328585e-135
AC015849.1	hypermethylated	1	0.2233068581866215	1.6119795304428548e-05
AC015908.7	hypermethylated	2	0.3076488204471406	3.7100173037034495e-77
AC015909.1	hypermethylated	1	0.2301183040781523	3.788459267854186e-23
AC015917.2	hypermethylated	1	0.2110873908493934	3.768025602167998e-68
AC016044.1	hypermethylated	4	0.2438617502368862	1.3560905960767863e-120
AC016168.2	hypermethylated	1	0.3060250911279853	8.446578544851983e-114
AC016168.3	hypermethylated	1	0.3060250911279853	8.446578544851983e-114
AC016266.1	hypermethylated	1	0.2455564772324381	6.657397374322779e-42
AC016292.1	hypermethylated	1	0.4384996349650218	1.802977312270344e-21
AC016383.1	hypermethylated	2	0.2524899795992851	1.6642214736249614e-100
AC016396.2	hypermethylated	1	0.2066420245459889	7.931950700562823e-37
AC016526.4	hypermethylated	2	0.3080924723878483	1.877948180524473e-152
AC016582.1	hypermethylated	1	0.2086173522703414	4.8575101369830965e-93
AC016582.2	hypermethylated	1	0.226106540487474	1.4869547502920714e-37
AC016582.3	hypermethylated	3	0.3263200846280945	2.1765992756782047e-115
AC016595.1	hypermethylated	3	0.3418597179170318	1.3984527820414897e-142
AC016629.3	hypermethylated	2	0.2791501189818828	8.902697651323409e-68
AC016747.1	hypermethylated	6	0.2290898395485212	6.588960224222745e-103
AC016747.4	hypermethylated	6	0.2290898395485212	6.588960224222745e-103
AC016831.6	hypermethylated	2	0.3143752710594302	1.7690217675330348e-153
AC016876.2	hypermethylated	1	0.4451654667806144	4.5287066702090745e-05
AC016877.3	hypermethylated	2	0.3045542143534931	4.0383360510748895e-96
AC016912.1	hypermethylated	1	0.2377310139636937	2.3600175603955022e-48
AC016924.1	hypermethylated	1	0.2158341964428742	4.73640935635636e-106
AC016931.1	hypermethylated	2	0.2263227787898076	2.7518312977275385e-111
AC017002.2	hypermethylated	1	0.2011184306075544	1.6142462215018591e-52
AC017002.3	hypermethylated	1	0.2011184306075544	1.6142462215018591e-52
