gene	function
AC006116.7	(no annotation found)
AC006148.1	(no annotation found)
AC006153.1	(no annotation found)
AC006230.1	(no annotation found)
AC006254.1	(no annotation found)
AC006348.1	(no annotation found)
AC006369.1	(no annotation found)
AC006372.1	(no annotation found)
AC006372.3	(no annotation found)
AC006372.4	(no annotation found)
AC006427.2	(no annotation found)
AC006450.2	(no annotation found)
AC006452.1	(no annotation found)
AC006487.1	(no annotation found)
AC006487.2	(no annotation found)
AC006504.5	(no annotation found)
AC006511.4	(no annotation found)
AC006971.1	(no annotation found)
AC006994.1	(no annotation found)
AC007040.2	(no annotation found)
AC007091.1	(no annotation found)
AC007092.1	(no annotation found)
AC007098.1	(no annotation found)
AC007099.1	(no annotation found)
AC007128.1	(no annotation found)
AC007207.1	(no annotation found)
AC007216.1	(no annotation found)
AC007220.2	(no annotation found)
AC007222.2	(no annotation found)
AC007223.1	(no annotation found)
AC007225.1	(no annotation found)
AC007262.2	(no annotation found)
AC007271.1	(no annotation found)
AC007277.1	(no annotation found)
AC007298.2	(no annotation found)
AC007319.1	(no annotation found)
AC007326.1	(no annotation found)
AC007344.1	(no annotation found)
AC007351.2	(no annotation found)
AC007351.3	(no annotation found)
AC007351.4	(no annotation found)
AC007368.1	(no annotation found)
AC007375.2	(no annotation found)
AC007375.3	(no annotation found)
AC007376.2	(no annotation found)
AC007384.1	(no annotation found)
AC007389.1	(no annotation found)
AC007391.3	(no annotation found)
AC007402.1	(no annotation found)
AC007405.1	(no annotation found)
AC007405.2	(no annotation found)
AC007405.4	(no annotation found)
AC007448.4	(no annotation found)
AC007448.5	(no annotation found)
AC007450.1	(no annotation found)
AC007450.4	(no annotation found)
AC007461.1	(no annotation found)
AC007463.1	(no annotation found)
AC007491.1	(no annotation found)
AC007511.1	(no annotation found)
AC007535.1	(no annotation found)
AC007541.1	(no annotation found)
AC007563.2	(no annotation found)
AC007601.1	(no annotation found)
AC007608.3	(no annotation found)
AC007610.1	(no annotation found)
AC007613.1	(no annotation found)
AC007614.1	(no annotation found)
AC007652.3	(no annotation found)
AC007682.1	(no annotation found)
AC007728.3	(no annotation found)
AC007750.1	(no annotation found)
AC007780.1	(no annotation found)
AC007846.1	(no annotation found)
AC007846.2	(no annotation found)
AC007923.3	(no annotation found)
AC007991.3	(no annotation found)
AC007996.1	(no annotation found)
AC008011.2	(no annotation found)
AC008012.1	(no annotation found)
AC008014.1	(no annotation found)
AC008033.3	(no annotation found)
AC008035.1	(no annotation found)
AC008060.1	(no annotation found)
AC008060.2	(no annotation found)
AC008060.3	(no annotation found)
AC008063.1	(no annotation found)
AC008067.1	(no annotation found)
AC008127.1	(no annotation found)
AC008133.1	(no annotation found)
AC008147.1	(no annotation found)
AC008149.2	(no annotation found)
AC008163.1	(no annotation found)
AC008397.2	(no annotation found)
AC008406.3	(no annotation found)
AC008415.1	(no annotation found)
AC008443.3	(no annotation found)
AC008456.1	(no annotation found)
AC008481.3	(no annotation found)
AC008525.1	(no annotation found)
AC008534.1	(no annotation found)
AC008537.1	(no annotation found)
AC008543.1	(no annotation found)
AC008555.2	(no annotation found)
AC008567.2	(no annotation found)
AC008571.2	(no annotation found)
AC008581.2	(no annotation found)
AC008588.1	(no annotation found)
AC008591.1	(no annotation found)
AC008620.2	(no annotation found)
AC008649.1	(no annotation found)
AC008667.1	(no annotation found)
AC008667.2	(no annotation found)
AC008674.1	(no annotation found)
AC008691.1	(no annotation found)
AC008695.1	(no annotation found)
AC008696.2	(no annotation found)
AC008708.2	(no annotation found)
AC008738.2	(no annotation found)
AC008750.2	(no annotation found)
AC008758.1	(no annotation found)
AC008763.2	(no annotation found)
AC008763.3	(no annotation found)
AC008763.4	(no annotation found)
AC008771.1	(no annotation found)
AC008786.1	(no annotation found)
AC008808.1	(no annotation found)
AC008808.2	(no annotation found)
AC008840.1	(no annotation found)
AC008875.1	(no annotation found)
AC008875.2	(no annotation found)
AC008875.3	(no annotation found)
AC008892.1	(no annotation found)
AC008945.2	(no annotation found)
AC008964.1	(no annotation found)
AC009041.3	(no annotation found)
AC009061.2	(no annotation found)
AC009065.1	(no annotation found)
AC009070.1	(no annotation found)
AC009078.3	(no annotation found)
AC009081.2	(no annotation found)
AC009088.3	(no annotation found)
AC009090.6	(no annotation found)
AC009093.10	(no annotation found)
AC009093.11	(no annotation found)
AC009093.2	(no annotation found)
AC009093.8	(no annotation found)
AC009108.4	(no annotation found)
AC009133.1	(no annotation found)
AC009133.2	(no annotation found)
AC009133.5	(no annotation found)
AC009152.6	(no annotation found)
AC009244.1	(no annotation found)
AC009264.1	(no annotation found)
AC009269.3	(no annotation found)
AC009292.1	(no annotation found)
AC009292.2	(no annotation found)
AC009396.1	(no annotation found)
AC009396.2	(no annotation found)
AC009403.2	(no annotation found)
AC009404.1	(no annotation found)
AC009432.2	(no annotation found)
AC009435.1	(no annotation found)
AC009487.1	(no annotation found)
AC009487.2	(no annotation found)
AC009495.1	(no annotation found)
AC009505.1	(no annotation found)
AC009509.1	(no annotation found)
AC009517.1	(no annotation found)
AC009522.1	(no annotation found)
AC009531.1	(no annotation found)
AC009562.1	(no annotation found)
AC009570.2	(no annotation found)
AC009623.1	(no annotation found)
AC009623.3	(no annotation found)
AC009630.1	(no annotation found)
AC009630.4	(no annotation found)
AC009716.1	(no annotation found)
AC009779.3	(no annotation found)
AC009779.4	(no annotation found)
AC009879.2	(no annotation found)
AC009879.3	(no annotation found)
AC009879.4	(no annotation found)
AC009902.2	(no annotation found)
AC009949.1	(no annotation found)
AC009951.2	(no annotation found)
AC009951.4	(no annotation found)
