gene	function
MYLK	myosin light chain kinase — This gene, a muscle member of the immunoglobulin gene superfamily, encodes myosin light chain kinase which is a calcium/calmodulin dependent enzyme. This kinase phosphorylates myosin regulatory light chains to facilitate myosin interacti...
MYLK-AS1	MYLK antisense RNA 1 (non-coding RNA; limited characterised function).
MYLK3	myosin light chain kinase 3 — Phosphorylation of cardiac myosin heavy chains (see MYH7B, MIM 609928) and light chains (see MYL2, MIM 160781) by a kinase, such as MYLK3, potentiates the force and rate of cross-bridge recruitment in cardiac myocytes (Chan et al., 2008...
MYLK4	myosin light chain kinase family member 4 — Predicted to enable myosin light chain kinase activity. Predicted to be involved in protein phosphorylation.
MYO10	myosin X — This gene encodes a member of the myosin superfamily. The protein represents an unconventional myosin; it should not be confused with the conventional non-muscle myosin-10 (MYH10).
MYO15A	myosin XVA — This gene encodes an unconventional myosin. This protein differs from other myosins in that it has a long N-terminal extension preceding the conserved motor domain.
MYO15B	myosin XVB — Predicted to enable ATP binding activity; actin binding activity; and cytoskeletal motor activity. Predicted to be located in brush border; cytoplasm; and cytoskeleton.
MYO16	myosin XVI — This gene encodes an unconventional myosin protein. The encoded protein has been proposed to act as a serine/threonine phosphatase-1 targeting or regulatory subunit.
MYO19	myosin XIX — Enables actin binding activity. Involved in regulation of cytokinesis and regulation of mitochondrial fission.
MYO1B	myosin IB — Enables ATP binding activity; actin filament binding activity; and microfilament motor activity. Involved in actin filament organization and post-Golgi vesicle-mediated transport.
MYO1D	myosin ID — Enables protein domain specific binding activity. Predicted to be involved in actin filament organization; early endosome to recycling endosome transport; and vesicle transport along actin filament.
MYO1E	myosin IE — This gene encodes a member of the nonmuscle class I myosins which are a subgroup of the unconventional myosin protein family. The unconventional myosin proteins function as actin-based molecular motors.
MYO3A	myosin IIIA — The protein encoded by this gene belongs to the myosin superfamily. Myosins are actin-dependent motor proteins and are categorized into conventional myosins (class II) and unconventional myosins (classes I and III through XV) based on th...
MYO3B	myosin IIIB — This gene encodes one of the class III myosins. Myosins are ATPases, activated by actin, that move along actin filaments in the cell.
MYO5C	myosin VC — Predicted to enable actin filament binding activity and microfilament motor activity. Predicted to be involved in actin filament organization and vesicle transport along actin filament.
MYO7B	myosin VIIB — The protein encoded by this gene is found in brush border microvilli of epithelial cells in the intestines and kidneys. The encoded protein is involved in linking protocadherins to the actin cytoskeleton and is essential for proper micro...
MYO9B	myosin IXB — This gene encodes a member of the myosin family of actin-based molecular motor heavy chain proteins. The protein represents an unconventional myosin; it should not be confused with the conventional non-muscle myosin-9 (MYH9).
MYOD1	myogenic differentiation 1 — This gene encodes a nuclear protein that belongs to the basic helix-loop-helix family of transcription factors and the myogenic factors subfamily. It regulates muscle cell differentiation by inducing cell cycle arrest, a prerequisite for...
MYOF	myoferlin — Mutations in dysferlin, a protein associated with the plasma membrane, can cause muscle weakness that affects both proximal and distal muscles. The protein encoded by this gene is a type II membrane protein that is structurally similar t...
MYOM1	myomesin 1 — The giant protein titin, together with its associated proteins, interconnects the major structure of sarcomeres, the M bands and Z discs. The C-terminal end of the titin string extends into the M line, where it binds tightly to M-band co...
MYOM2	myomesin 2 — The giant protein titin, together with its associated proteins, interconnects the major structure of sarcomeres, the M bands and Z discs. The C-terminal end of the titin string extends into the M line, where it binds tightly to M-band co...
MYORG	myogenesis regulating glycosidase — Predicted to enable hydrolase activity, hydrolyzing O-glycosyl compounds. Involved in skeletal muscle fiber development.
MYOZ2	myozenin 2 — The protein encoded by this gene belongs to a family of sarcomeric proteins that bind to calcineurin, a phosphatase involved in calcium-dependent signal transduction in diverse cell types. These family members tether calcineurin to alpha...
MYPN	myopalladin — Striated muscle in vertebrates comprises large proteins which must be organized properly to contract efficiently. Z-lines in striated muscle are a sign of this organization, representing the ends of actin thin filaments, titin, nebulin o...
MYRF	myelin regulatory factor — This gene encodes a transcription factor that is required for central nervous system myelination and may regulate oligodendrocyte differentiation. It is thought to act by increasing the expression of genes that effect myelin production b...
MYRIP	myosin VIIA and Rab interacting protein — Predicted to enable actin binding activity and myosin binding activity. Predicted to be involved in positive regulation of insulin secretion.
MYT1	myelin transcription factor 1 — The protein encoded by this gene is a member of a family of neural specific, zinc finger-containing DNA-binding proteins. The protein binds to the promoter regions of proteolipid proteins of the central nervous system and plays a role in...
MYT1L	myelin transcription factor 1 like — This gene encodes a member of the zinc finger superfamily of transcription factors whose expression, thus far, has been found only in neuronal tissues. The encoded protein belongs to a novel class of cystein-cystein-histidine-cystein zin...
MYT1L-AS1	MYT1L antisense RNA 1 (non-coding RNA; limited characterised function).
MZB1	marginal zone B and B1 cell specific protein — Involved in positive regulation of cell population proliferation. Located in cytoplasm and extracellular region.
N4BP1	NEDD4 binding protein 1 — Enables mRNA binding activity; ribonuclease activity; and ubiquitin binding activity. Involved in cellular response to UV and negative regulation of viral genome replication.
N4BP2L1	NEDD4 binding protein 2 like 1
NAA11	N-alpha-acetyltransferase 11, NatA catalytic subunit — Enables peptide alpha-N-acetyltransferase activity. Involved in N-terminal protein amino acid acetylation.
NAAA	N-acylethanolamine acid amidase — This gene encodes an N-acylethanolamine-hydrolyzing enzyme which is highly similar to acid ceramidase. Multiple transcript variants encoding different isoforms have been found for this gene.
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 — This gene is a member of the N-acetylated alpha-linked acidic dipeptidase (NAALADase) gene family. The representative member of this family is the gene encoding human prostate-specific membrane antigen (PSM), which is a marker of prostat...
NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1 — Enables aminopeptidase activity; metal ion binding activity; and protein homodimerization activity. Involved in peptide catabolic process.
NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2 — Predicted to enable metalloexopeptidase activity. Predicted to be involved in proteolysis.
NAALADL2-AS2	NAALADL2 antisense RNA 2 (non-coding RNA; limited characterised function).
NAB1	NGFI-A binding protein 1 — Predicted to enable transcription coregulator activity. Predicted to be involved in regulation of transcription, DNA-templated.
NAB2	NGFI-A binding protein 2 — This gene encodes a member of the family of NGFI-A binding (NAB) proteins, which function in the nucleus to repress transcription induced by some members of the EGR (early growth response) family of transactivators. NAB proteins can homo...
NACAD	NAC alpha domain containing — Predicted to enable unfolded protein binding activity. Predicted to be involved in protein targeting to membrane.
NADK2	NAD kinase 2, mitochondrial — This gene encodes a mitochondrial kinase that catalyzes the phosphorylation of NAD to yield NADP. Mutations in this gene result in 2,4-dienoyl-CoA reductase deficiency.
NAE1	NEDD8 activating enzyme E1 subunit 1 — The protein encoded by this gene binds to the beta-amyloid precursor protein. Beta-amyloid precursor protein is a cell surface protein with signal-transducing properties, and it is thought to play a role in the pathogenesis of Alzheimer'...
NAGS	N-acetylglutamate synthase — The N-acetylglutamate synthase gene encodes a mitochondrial enzyme that catalyzes the formation of N-acetylglutamate (NAG) from glutamate and acetyl coenzyme-A. NAG is a cofactor of carbamyl phosphate synthetase I (CPSI), the first enzym...
NAIF1	nuclear apoptosis inducing factor 1 — Involved in negative regulation of cell growth and regulation of mitochondrial membrane permeability involved in apoptotic process. Located in cytosol; nucleoplasm; and plasma membrane.
NAIP	NLR family apoptosis inhibitory protein — This gene is part of a 500 kb inverted duplication on chromosome 5q13. This duplicated region contains at least four genes and repetitive elements which make it prone to rearrangements and deletions.
NALCN	sodium leak channel, non-selective — This gene encodes a voltage-independent, nonselective cation channel which belongs to a family of voltage-gated sodium and calcium channels that regulates the resting membrane potential and excitability of neurons. This family is express...
NALCN-AS1	NALCN antisense RNA 1 (non-coding RNA; limited characterised function).
NAMA	non-protein coding RNA, associated with MAP kinase pathway and growth arrest
NAMPT	nicotinamide phosphoribosyltransferase — This gene encodes a protein that catalyzes the condensation of nicotinamide with 5-phosphoribosyl-1-pyrophosphate to yield nicotinamide mononucleotide, one step in the biosynthesis of nicotinamide adenine dinucleotide. The protein belong...
NANOG	Nanog homeobox — The protein encoded by this gene is a DNA binding homeobox transcription factor involved in embryonic stem (ES) cell proliferation, renewal, and pluripotency. The encoded protein can block ES cell differentiation and can also autorepress...
NANOS3	nanos C2HC-type zinc finger 3 — Predicted to enable mRNA binding activity. Involved in germ cell development; negative regulation of translation; and positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay.
NAP1L4	nucleosome assembly protein 1 like 4 — This gene encodes a member of the nucleosome assembly protein (NAP) family which can interact with both core and linker histones. It can shuttle between the cytoplasm and nucleus, suggesting a role as a histone chaperone.
NAPA	NSF attachment protein alpha — This gene encodes a member of the soluble NSF attachment protein (SNAP) family. SNAP proteins play a critical role in the docking and fusion of vesicles to target membranes as part of the 20S NSF-SNAP-SNARE complex.
NAPRT	nicotinate phosphoribosyltransferase — Nicotinic acid (NA; niacin) is converted by nicotinic acid phosphoribosyltransferase (NAPRT; EC 2.4.2.11) to NA mononucleotide (NaMN), which is then converted to NA adenine dinucleotide (NaAD), and finally to nicotinamide adenine dinucle...
NARS2	asparaginyl-tRNA synthetase 2, mitochondrial — This gene encodes a putative member of the class II family of aminoacyl-tRNA synthetases. These enzymes play a critical role in protein biosynthesis by charging tRNAs with their cognate amino acids.
NAT1	N-acetyltransferase 1 — This gene is one of two arylamine N-acetyltransferase (NAT) genes in the human genome, and is orthologous to the mouse and rat Nat2 genes. The enzyme encoded by this gene catalyzes the transfer of an acetyl group from acetyl-CoA to vario...
NAT10	N-acetyltransferase 10 — The protein encoded by this gene is an RNA cytidine acetyltransferase involved in histone acetylation, tRNA acetylation, the biosynthesis of 18S rRNA, and the enhancement of nuclear architecture and chromatin organization. [provided by R...
NAT16	N-acetyltransferase 16 (putative) — Predicted to enable acyltransferase activity, transferring groups other than amino-acyl groups. [provided by Alliance of Genome Resources, Apr 2022]
NAT8L	(no annotation found)
NAV1	neuron navigator 1 — This gene belongs to the neuron navigator family and is expressed predominantly in the nervous system. The encoded protein contains coiled-coil domains and a conserved AAA domain characteristic for ATPases associated with a variety of ce...
NAV2	neuron navigator 2 — This gene encodes a member of the neuron navigator gene family, which may play a role in cellular growth and migration. Multiple transcript variants encoding different isoforms have been found for this gene.
NAV3	neuron navigator 3 — This gene belongs to the neuron navigator family and is expressed predominantly in the nervous system. The encoded protein contains coiled-coil domains and a conserved AAA domain characteristic for ATPases associated with a variety of ce...
NAXD	NAD(P)HX dehydratase — Enables ATP-dependent NAD(P)H-hydrate dehydratase activity. Predicted to be involved in metabolite repair.
NBEA	neurobeachin — This gene encodes a member of a large, diverse group of A-kinase anchor proteins that target the activity of protein kinase A to specific subcellular sites by binding to its type II regulatory subunits. Brain-specific expression and coat...
NBEAL2	neurobeachin like 2 — The protein encoded by this gene contains a beige and Chediak-Higashi (BEACH) domain and multiple WD40 domains, and may play a role in megakaryocyte alpha-granule biogenesis. Mutations in this gene are a cause of gray platelet syndrome.
NCALD	neurocalcin delta — This gene encodes a member of the neuronal calcium sensor (NCS) family of calcium-binding proteins. The protein contains an N-terminal myristoylation signal and four EF-hand calcium binding loops.
NCAM1	neural cell adhesion molecule 1 — This gene encodes a cell adhesion protein which is a member of the immunoglobulin superfamily. The encoded protein is involved in cell-to-cell interactions as well as cell-matrix interactions during development and differentiation.
NCAM2	neural cell adhesion molecule 2 — The protein encoded by this gene belongs to the immunoglobulin superfamily. It is a type I membrane protein and may function in selective fasciculation and zone-to-zone projection of the primary olfactory axons.
NCAN	neurocan — Neurocan is a chondroitin sulfate proteoglycan thought to be involved in the modulation of cell adhesion and migration.[supplied by OMIM, Jul 2002].
NCAPG2	non-SMC condensin II complex subunit G2 — This gene encodes a protein that belongs to the Condensin2nSMC family of proteins. The encoded protein is a regulatory subunit of the condensin II complex which, along with the condensin I complex, plays a role in chromosome assembly and...
NCEH1	neutral cholesterol ester hydrolase 1 — Predicted to enable hydrolase activity. Predicted to be involved in ether lipid metabolic process.
NCK1	NCK adaptor protein 1 — The protein encoded by this gene is one of the signaling and transforming proteins containing Src homology 2 and 3 (SH2 and SH3) domains. It is located in the cytoplasm and is an adaptor protein involved in transducing signals from recep...
NCK2	NCK adaptor protein 2 — This gene encodes a member of the NCK family of adaptor proteins. The protein contains three SH3 domains and one SH2 domain.
NCKAP5	NCK associated protein 5 — Predicted to be involved in microtubule bundle formation and microtubule depolymerization. Predicted to be active in microtubule plus-end.
NCKAP5-AS2	NCKAP5 antisense RNA 2 (non-coding RNA; limited characterised function).
NCKAP5L	NCK associated protein 5 like — Involved in microtubule bundle formation and microtubule depolymerization. Located in centrosome and microtubule plus-end.
NCKIPSD	NCK interacting protein with SH3 domain — The protein encoded by this gene contains a nuclear localization signal. It plays a role in signal transduction, and may function in the maintenance of sarcomeres and in the assembly of myofibrils into sarcomeres.
NCMAP-DT	NCMAP divergent transcript
NCOA4	nuclear receptor coactivator 4 — This gene encodes an androgen receptor coactivator. The encoded protein interacts with the androgen receptor in a ligand-dependent manner to enhance its transcriptional activity.
NCOR2	nuclear receptor corepressor 2 — This gene encodes a nuclear receptor co-repressor that mediates transcriptional silencing of certain target genes. The encoded protein is a member of a family of thyroid hormone- and retinoic acid receptor-associated co-repressors.
NCS1	neuronal calcium sensor 1 — This gene is a member of the neuronal calcium sensor gene family, which encode calcium-binding proteins expressed predominantly in neurons. The protein encoded by this gene regulates G protein-coupled receptor phosphorylation in a calciu...
NDEL1	nudE neurodevelopment protein 1 like 1 — This gene encodes a coiled-coil protein that plays a role in multiple processes including cytoskeletal organization, cell signaling and neuron migration, outgrowth and maintenance. Alternatively spliced transcript variants encoding multi...
NDFIP1	Nedd4 family interacting protein 1 — The protein encoded by this gene belongs to a small group of evolutionarily conserved proteins with three transmembrane domains. It is a potential target for ubiquitination by the Nedd4 family of proteins.
NDN	necdin, MAGE family member — This intronless gene is located in the Prader-Willi syndrome deletion region. It is an imprinted gene and is expressed exclusively from the paternal allele.
NDNF	neuron derived neurotrophic factor — Predicted to enable heparin binding activity. Involved in several processes, including cellular response to hypoxia; negative regulation of apoptotic process; and nitric oxide mediated signal transduction.
NDRG1	N-myc downstream regulated 1 — This gene is a member of the N-myc downregulated gene family which belongs to the alpha/beta hydrolase superfamily. The protein encoded by this gene is a cytoplasmic protein involved in stress responses, hormone responses, cell growth, a...
NDRG2	NDRG family member 2 — This gene is a member of the N-myc downregulated gene family which belongs to the alpha/beta hydrolase superfamily. The protein encoded by this gene is a cytoplasmic protein that may play a role in neurite outgrowth.
NDRG4	NDRG family member 4 — This gene is a member of the N-myc downregulated gene family which belongs to the alpha/beta hydrolase superfamily. The protein encoded by this gene is a cytoplasmic protein that is required for cell cycle progression and survival in pri...
NDST1	N-deacetylase and N-sulfotransferase 1 — This gene encodes a member of the heparan sulfate/heparin GlcNAc N-deacetylase/ N-sulfotransferase family. The encoded enzyme is a type II transmembrane protein that resides in the Golgi apparatus.
NDST3	N-deacetylase and N-sulfotransferase 3 — This gene encodes a member of the heparan sulfate/heparin GlcNAc N-deacetylase/ N-sulfotransferase family. The encoded enzyme is a type II transmembrane protein that resides in the Golgi apparatus.
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 — The protein encoded by this gene is a component of 42 kDa complex I, the first enzyme complex in the electron transport chain of mitochondria. This protein has NADH dehydrogenase activity and oxidoreductase activity.
NDUFA13	NADH:ubiquinone oxidoreductase subunit A13 — This gene encodes a subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), which functions in the transfer of electrons from NADH to the respiratory chain. The protein is required for complex I assembly a...
NDUFA4	(no annotation found)
NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 — The encoded protein is a subunit of the hydrophobic protein fraction of the NADH:ubiquinone oxidoreductase (complex I), the first enzyme complex in the electron transport chain located in the inner mitochondrial membrane. A pseudogene ha...
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 — Predicted to enable acyl binding activity; acyl carrier activity; and fatty acid binding activity. Involved in mitochondrial respiratory chain complex I assembly and protein lipoylation.
NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 — NADH:ubiquinone oxidoreductase (complex I) catalyzes the transfer of electrons from NADH to ubiquinone (coenzyme Q) in the first step of the mitochondrial respiratory chain, resulting in the translocation of protons across the inner mito...
NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6 — This gene encodes a protein that localizes to mitochondria and contains a predicted phytoene synthase domain. The encoded protein plays an important role in the assembly of complex I (NADH-ubiquinone oxidoreductase) of the mitochondrial...
NDUFB11	NADH:ubiquinone oxidoreductase subunit B11 — The protein encoded by this gene is a subunit of the multisubunit NADH:ubiquinone oxidoreductase (complex I). Mammalian complex I is located at the mitochondrial inner membrane.
NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 — The protein encoded by this gene is a subunit of the multisubunit NADH:ubiquinone oxidoreductase (complex I). Mammalian complex I is composed of 45 different subunits.
NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 — The protein encoded by this gene is a subunit of the multisubunit NADH:ubiquinone oxidoreductase (complex I). Mammalian complex I is composed of 45 different subunits.
NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 — Involved in mitochondrial respiratory chain complex I assembly. Located in endoplasmic reticulum and mitochondrion.
NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 — The encoded protein is a subunit of the NADH:ubiquinone oxidoreductase (complex I), the first enzyme complex in the electron transport chain located in the inner mitochondrial membrane. Alternative splicing results in multiple transcript...
NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough — This locus represents naturally occurring read-through transcription between the neighboring NDUFC2 (NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa) and KCTD14 (potassium channel tetramerisation domain containing 14) g...
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 — The protein encoded by this gene belongs to the complex I 75 kDa subunit family. Mammalian complex I is composed of 45 different subunits.
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 — The protein encoded by this gene is a core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (complex I). Mammalian mitochondrial complex I is composed of at least 43 different subunits, 7 of which are encoded by...
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 — This gene encodes one of the iron-sulfur protein (IP) components of mitochondrial NADH:ubiquinone oxidoreductase (complex I). Mutations in this gene are associated with Leigh syndrome resulting from mitochondrial complex I deficiency.[pr...
NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 — This gene encodes an nuclear-encoded accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (complex I, or NADH:ubiquinone oxidoreductase). Complex I removes electrons from NADH and passes them to the electr...
NDUFS6	NADH:ubiquinone oxidoreductase subunit S6 — This gene encodes a subunit of the NADH:ubiquinone oxidoreductase (complex I), which is the first enzyme complex in the electron transport chain of mitochondria. This complex functions in the transfer of electrons from NADH to the respir...
NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 — This gene encodes a protein that is a subunit of one of the complexes that forms the mitochondrial respiratory chain. This protein is one of over 40 subunits found in complex I, the nicotinamide adenine dinucleotide (NADH):ubiquinone oxi...
NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8 — This gene encodes a subunit of mitochondrial NADH:ubiquinone oxidoreductase, or Complex I, a multimeric enzyme of the respiratory chain responsible for NADH oxidation, ubiquinone reduction, and the ejection of protons from mitochondria....
NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 — The mitochondrial respiratory chain provides energy to cells via oxidative phosphorylation and consists of four membrane-bound electron-transporting protein complexes (I-IV) and an ATP synthase (complex V). This gene encodes a 51 kDa sub...
NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 — The NADH-ubiquinone oxidoreductase complex (complex I) of the mitochondrial respiratory chain catalyzes the transfer of electrons from NADH to ubiquinone, and consists of at least 43 subunits. The complex is located in the inner mitochon...
NEBL	nebulette — This gene encodes a nebulin like protein that is abundantly expressed in cardiac muscle. The encoded protein binds actin and interacts with thin filaments and Z-line associated proteins in striated muscle.
NEBL-AS1	NEBL antisense RNA 1 (non-coding RNA; limited characterised function).
NECAB1	N-terminal EF-hand calcium binding protein 1 — Enables identical protein binding activity. Predicted to be involved in regulation of amyloid precursor protein biosynthetic process.
NECAB2	N-terminal EF-hand calcium binding protein 2 — The protein encoded by this gene is a neuronal calcium-binding protein that binds to and modulates the function of at least two receptors, adenosine A(2A) receptor and metabotropic glutamate receptor type 5. [provided by RefSeq, Jul 2016].
NECTIN1	nectin cell adhesion molecule 1 — This gene encodes an adhesion protein that plays a role in the organization of adherens junctions and tight junctions in epithelial and endothelial cells. The protein is a calcium(2+)-independent cell-cell adhesion molecule that belongs...
NECTIN3	nectin cell adhesion molecule 3 — This gene encodes a member of the nectin family of proteins, which function as adhesion molecules at adherens junctions. This family member interacts with other nectin-like proteins and with afadin, a filamentous actin-binding protein in...
NECTIN3-AS1	NECTIN3 antisense RNA 1 (non-coding RNA; limited characterised function).
NECTIN4	nectin cell adhesion molecule 4 — This gene encodes a member of the nectin family. The encoded protein contains two immunoglobulin-like (Ig-like) C2-type domains and one Ig-like V-type domain.
NEDD4	NEDD4 E3 ubiquitin protein ligase — This gene is the founding member of the NEDD4 family of HECT ubiquitin ligases that function in the ubiquitin proteasome system of protein degradation. The encoded protein contains an N-terminal calcium and phospholipid binding C2 domain...
NEDD4L	NEDD4 like E3 ubiquitin protein ligase — This gene encodes a member of the Nedd4 family of HECT domain E3 ubiquitin ligases. HECT domain E3 ubiquitin ligases transfer ubiquitin from E2 ubiquitin-conjugating enzymes to protein substrates, thus targeting specific proteins for lys...
NEDD8	NEDD8 ubiquitin like modifier — Enables ubiquitin protein ligase binding activity. Acts upstream of or within protein neddylation.
NEDD9	neural precursor cell expressed, developmentally down-regulated 9 — The protein encoded by this gene is a member of the CRK-associated substrates family. Members of this family are adhesion docking molecules that mediate protein-protein interactions for signal transduction pathways.
NEFH	neurofilament heavy chain — Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber.
NEFL	neurofilament light chain — Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and they functionally maintain the neuronal caliber.
NEFM	neurofilament medium chain — Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber.
NEK1	NIMA related kinase 1 — The protein encoded by this gene is a serine/threonine kinase involved in cell cycle regulation. The encoded protein is found in a centrosomal complex with FEZ1, a neuronal protein that plays a role in axonal development.
NEK10	NIMA related kinase 10 — Enables protein kinase activity. Involved in several processes, including mucociliary clearance; positive regulation of protein phosphorylation; and regulation of ERK1 and ERK2 cascade.
NEK11	NIMA related kinase 11 — This gene encodes a member of the never in mitosis gene A family of kinases. The encoded protein localizes to the nucleoli, and may function with NEK2A in the S-phase checkpoint.
NEK3	NIMA related kinase 3 — This gene encodes a member of the NimA (never in mitosis A) family of serine/threonine protein kinases. The encoded protein differs from other NimA family members in that it is not cell cycle regulated and is found primarily in the cytop...
NEK7	NIMA related kinase 7 — NIMA-related kinases share high amino acid sequence identity with the gene product of the Aspergillus nidulans 'never in mitosis A' gene, which controls initiation of mitosis.[supplied by OMIM, Jul 2002].
NELL1	neural EGFL like 1 — This gene encodes a cytoplasmic protein that contains epidermal growth factor (EGF)-like repeats. The encoded heterotrimeric protein may be involved in cell growth regulation and differentiation.
NELL2	neural EGFL like 2 — The protein encoded by this gene is a glycoprotein containing several von Willebrand factor C domains and epidermal growth factor (EGF)-like domains. The encoded protein acts as a homotrimer and is found in the cytoplasm.
NENF	neudesin neurotrophic factor — This gene encodes a neurotrophic factor that may play a role in neuron differentiation and development. A pseudogene of this gene is found on chromosome 12.
NEPRO	(no annotation found)
NES	nestin — This gene encodes a member of the intermediate filament protein family and is expressed primarily in nerve cells. [provided by RefSeq, Sep 2011].
NET1	neuroepithelial cell transforming 1 — This gene is part of the family of Rho guanine nucleotide exchange factors. Members of this family activate Rho proteins by catalyzing the exchange of GDP for GTP.
NETO1	neuropilin and tolloid like 1 — This gene encodes a transmembrane protein containing two extracellular CUB domains followed by a low-density lipoprotein class A (LDLa) domain. This protein is thought to play a critical role in spatial learning and memory by regulating...
NEURL1	neuralized E3 ubiquitin protein ligase 1 — Predicted to enable translation factor activity, non-nucleic acid binding and ubiquitin protein ligase activity. Involved in negative regulation of Notch signaling pathway; negative regulation of cell population proliferation; and positi...
NEURL1B	neuralized E3 ubiquitin protein ligase 1B — Predicted to enable ubiquitin protein ligase activity. Predicted to be involved in ubiquitin-dependent endocytosis.
NEURL2	neuralized E3 ubiquitin protein ligase 2 — This gene encodes a protein that is involved in the regulation of myofibril organization. This protein is likely the adaptor component of the E3 ubiquitin ligase complex in striated muscle, and it regulates the ubiquitin-mediated degrada...
NEURL4	neuralized E3 ubiquitin protein ligase 4 — The protein encoded by this gene is predicted and it includes two isoforms resulting from two alternatively spliced transcript variants. [provided by RefSeq, Jul 2008].
NEUROD1	neuronal differentiation 1 — This gene encodes a member of the NeuroD family of basic helix-loop-helix (bHLH) transcription factors. The protein forms heterodimers with other bHLH proteins and activates transcription of genes that contain a specific DNA sequence kno...
NEUROD2	neuronal differentiation 2 — This gene encodes a member of the neuroD family of neurogenic basic helix-loop-helix (bHLH) proteins. Expression of this gene can induce transcription from neuron-specific promoters, such as the GAP-43 promoter, which contain a specific...
NEUROD4	neuronal differentiation 4 — Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in amacrine cell differentiation; posi...
NEUROD6	neuronal differentiation 6 — This gene is a member of the NEUROD family of basic helix-loop-helix transcription factors. The encoded protein may be involved in the development and differentiation of the nervous system.
NEUROG2-AS1	NEUROG2 and ZGRF1 antisense RNA 1 (non-coding RNA; limited characterised function).
NEUROG3	neurogenin 3 — The protein encoded by this gene is a basic helix-loop-helix (bHLH) transcription factor involved in neurogenesis. The encoded protein likely acts as a heterodimer with another bHLH protein.
NEXN	nexilin F-actin binding protein — This gene encodes a filamentous actin-binding protein that may function in cell adhesion and migration. Mutations in this gene have been associated with dilated cardiomyopathy, also known as CMD1CC.
NEXN-AS1	NEXN antisense RNA 1 (non-coding RNA; limited characterised function).
NF1	neurofibromin 1 — This gene product appears to function as a negative regulator of the ras signal transduction pathway. Mutations in this gene have been linked to neurofibromatosis type 1, juvenile myelomonocytic leukemia and Watson syndrome.
NFAM1	NFAT activating protein with ITAM motif 1 — The protein encoded by this gene is a type I membrane receptor that activates cytokine gene promoters such as the IL-13 and TNF-alpha promoters. The encoded protein contains an immunoreceptor tyrosine-based activation motif (ITAM) and is...
NFASC	neurofascin — This gene encodes an L1 family immunoglobulin cell adhesion molecule with multiple IGcam and fibronectin domains. The protein functions in neurite outgrowth, neurite fasciculation, and organization of the axon initial segment (AIS) and n...
NFATC1	nuclear factor of activated T cells 1 — The product of this gene is a component of the nuclear factor of activated T cells DNA-binding transcription complex. This complex consists of at least two components: a preexisting cytosolic component that translocates to the nucleus up...
NFATC2	nuclear factor of activated T cells 2 — This gene is a member of the nuclear factor of activated T cells (NFAT) family. The product of this gene is a DNA-binding protein with a REL-homology region (RHR) and an NFAT-homology region (NHR).
NFATC3	nuclear factor of activated T cells 3 — The product of this gene is a member of the nuclear factors of activated T cells DNA-binding transcription complex. This complex consists of at least two components: a preexisting cytosolic component that translocates to the nucleus upon...
NFATC4	nuclear factor of activated T cells 4 — This gene encodes a member of the nuclear factor of activated T cells (NFAT) protein family. The encoded protein is part of a DNA-binding transcription complex.
NFE2L1	NFE2 like bZIP transcription factor 1 — This gene encodes a protein that is involved in globin gene expression in erythrocytes. Confusion has occurred in bibliographic databases due to the shared symbol of NRF1 for this gene, NFE2L1, and for 'nuclear respiratory factor 1' whic...
